PURPOSE,FIRST,TICKET,WHO,LUGGAGE,AGE,MALE,INCOME,GA,ORIGIN,DEST,SM_SEATS
FromWork,no_1stClass,2way_1/2,half-half,1_piece,39<age≤54,male,50≤inc≤100,no_GA,O_BE,D_ZH,Airline_seats
FromBusiness,no_1stClass,2way_1/2,self,1_piece,age≤24,female,under50,no_GA,O_TH,D_AG,Airline_seats
Leisure,1stClass,Annual,self,NO_luggage,39<age≤54,female,50≤inc≤100,no_GA,O_GE,D_VS,NO_Airline_seats 
Business,no_1stClass,Annual,employer,1_piece,39<age≤54,female,over100,GA,O_VD,D_BE,NO_Airline_seats 
Business,no_1stClass,2way_1/2,employer,NO_luggage,24<age≤39,female,50≤inc≤100,no_GA,O_ZH,D_SG,NO_Airline_seats 
Leisure,no_1stClass,2way,self,NO_luggage,39<age≤54,male,under50,no_GA,O_GE,D_ZH,NO_Airline_seats 
FromShopping,no_1stClass,2way_1/2,self,NO_luggage,39<age≤54,male,over100,no_GA,O_GE,D_VS,NO_Airline_seats 
Commuter,no_1stClass,Annual,employer,1_piece,39<age≤54,male,over100,GA,O_AG,D_BE,NO_Airline_seats 
Leisure,1stClass,2way_1/2,self,1_piece,54<age≤ 65,male,50≤inc≤100,no_GA,O_GE,D_ZH,NO_Airline_seats 
Shopping,no_1stClass,Free_after_7pm,self,1_piece,age≤24,female,unknown_inc,no_GA,O_VD,D_GE,NO_Airline_seats 
FromWork,1stClass,2way_1/2,employer,1_piece,39<age≤54,male,over100,no_GA,O_BE,D_ZH,Airline_seats
Commuter,no_1stClass,Annual,employer,1_piece,39<age≤54,male,over100,GA,O_AG,D_BE,Airline_seats
Business,1stClass,2way,self,1_piece,39<age≤54,male,over100,no_GA,O_BE,D_SG,NO_Airline_seats 
Commuter,1stClass,Annual,employer,1_piece,age≤24,male,50≤inc≤100,GA,O_BE,D_ZH,NO_Airline_seats 
Business,no_1stClass,2way_1/2,self,1_piece,65 <age,female,unknown_inc,no_GA,O_GE,D_FR,NO_Airline_seats 
